year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,2.0,19.0,28.999999999999996,50.0,142.92183333333332,53.799579467588146,89.12225386574518,76.0,93.56723962615985,5.497850185666458,1.0,1.0,1.0
1.0,1.9994781254710627,18.999702083647374,29.000006499999998,49.99918670911843,142.8993865866093,53.79678725264333,89.10259933396597,76.0,93.55642963368129,5.4975568383496105,0.9999466432683793,0.9999994744889689,0.9999466432683793
2.0,1.9990932819393246,18.99932285925956,29.000012664133973,49.99842880533286,142.88234130958517,53.794662381391376,89.0876789281938,76.0,93.5482234105066,5.497333618342397,0.9999060419424656,0.9999989847665227,0.9999060419424656
3.0,1.9988086610867546,18.99888903533159,29.00001840227255,49.997716098690894,142.8692616161528,53.79302768693138,89.07623392922143,76.0,93.5419286610718,5.497161908143563,0.9998748096984001,0.9999985242483849,0.9998748096984001
4.0,1.9985973681337619,18.998419983306434,29.000023654038465,49.997041005478664,142.8590979023213,53.79175361714208,89.06734428517923,76.0,93.53703935684858,5.497028093604638,0.9998504702685491,0.9999980880343093,0.9998504702685491
5.0,1.998439750533684,18.997929718107965,29.000028380629768,49.99639784927142,142.85108276926434,53.79074542517213,89.0603373440922,76.0,93.53318553925072,5.4969222180186375,0.9998312126346695,0.9999976724564523,0.9998312126346695
6.0,1.99832144675334,18.997428345053027,29.000032558850346,49.99578235065671,142.84465500249675,53.789933804121446,89.0547211983753,76.0,93.53009665910643,5.496836998043543,0.9998157120349411,0.999997274749655,0.9998157120349411
7.0,1.9982319609140569,18.9969231168998,29.000036176753028,49.99519125456689,142.83940403918933,53.78926804095795,89.05013599823138,76.0,93.52757479902726,5.49676710431145,0.9998029991144846,0.9999968928106432,0.9998029991144846
8.0,1.9981636215087852,18.9964192060569,29.000039230460786,49.994622058026465,142.83502939925268,53.78871101258996,89.04631838666272,76.0,93.52547511266451,5.496708635597877,0.9997923642823959,0.9999965250221095,0.9997923642823959
9.0,1.9981108206681224,18.995920268683143,29.00004172184854,49.99407281119981,142.83131104657807,53.788235528707446,89.04307551787062,76.0,93.52369153482884,5.496658734506428,0.9997832878089082,0.9999961701241599,0.9997832878089082
10.0,1.9980694583691572,18.995428856737636,29.000043656853677,49.99354197196047,142.82808773475432,53.787821659074254,89.04026607568007,76.0,93.52214634162404,5.496615306600973,0.9997753887385465,0.9999958271203437,0.9997753887385465
