year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,2.0,19.0,28.999999999999996,50.0,142.92183333333332,53.32573493486689,89.59609839846644,72.2,91.73785411915654,5.448019057267313,0.9909362520410141,1.0,0.9909362520410141
1.0,1.9935007819573287,18.995717187971554,29.000006499999998,49.989224469928885,142.64051780126866,53.28989620067544,89.35062160059321,72.2,91.60284188032628,5.444249048400332,0.9902505278507097,0.9999930373498002,0.9902505278507097
2.0,1.9886940857651267,18.99043367727805,29.00000823492243,49.97913599796561,142.4259288493261,53.26246158286044,89.16346726646567,72.2,91.49990699655613,5.441363117247921,0.9897256079174719,0.9999865186448393,0.9897256079174719
3.0,1.9851274261027576,18.98448065461598,29.000004095959703,49.96961217667844,142.26042392968714,53.241225790792015,89.01919813889512,72.2,91.42055897639233,5.439129357858898,0.9893193110353113,0.9999803647910845,0.9893193110353113
4.0,1.9824698202227382,18.97809876309728,28.99999334322545,49.960561926545466,142.1310929447398,53.22456843600379,88.90652450873601,72.2,91.35858847980482,5.437377332663434,0.9890006364377328,0.9999745169371524,0.9890006364377328
5.0,1.980479065356879,18.971462410732357,28.999975504846763,49.951916980936,142.02848348640146,53.211299453252764,88.81718403314869,72.2,91.30945121823179,5.435981845386579,0.9887468122646964,0.9999689309722971,0.9887468122646964
6.0,1.97897786810692,18.964697561253708,28.99995030314876,49.94362573250939,141.9456710981723,53.200545010120464,88.74512608805185,72.2,91.26981934842851,5.434850956091564,0.9885411156274975,0.9999635735502368,0.9885411156274975
7.0,1.9778364135167315,18.9578947564561,28.999917600667402,49.93564877064023,141.87758045256388,53.19166347519324,88.68591697737064,72.2,91.23725433755386,5.433917149373248,0.9883712661978512,0.9999584192056444,0.9883712661978512
8.0,1.97695962695783,18.951118648914687,28.999877360675917,49.92795563654843,141.82048933374892,53.18418361804564,88.63630571570329,72.2,91.20996814363683,5.433130836719449,0.988228244357087,0.999953448257462,0.988228244357087
9.0,1.9762778601879174,18.944414980481614,28.999829618335614,49.92052245900514,141.77166598183427,53.177759208252255,88.59390677358202,72.2,91.18664872547012,5.43245558174876,0.9881054227181038,0.9999486452812033,0.9881054227181038
10.0,1.9757400782678318,18.93781569096086,28.99977445962427,49.91333022885296,141.72910382494027,53.17213568773059,88.55696813720968,72.2,91.16633247546534,5.431864594466346,0.9879979284680868,0.9999439979940281,0.9879979284680868
