year,pop_total_millions,yield_fraction_weighted
0.0,7212.460443194789,0.9428052866921292
1.0,6868.485964854574,0.8978413025953692
2.0,6595.948632004662,0.8622155074515897
3.0,6385.735923329003,0.8347367220037912
4.0,6225.5463201760695,0.8137969045981788
5.0,6103.540754774236,0.7978484646763708
6.0,6009.789988006441,0.785593462484502
7.0,5936.551906644291,0.7760198570776852
8.0,5878.044070506113,0.7683717739223678
9.0,5830.062015818474,0.7620996099109115
10.0,5789.6007512444685,0.756810555718231
11.0,5754.536318753777,0.7522269697717356
12.0,5723.378131021751,0.7481540040551308
13.0,5695.084639005378,0.7444555083667161
14.0,5668.929739736994,0.7410365672858814
15.0,5644.407576374721,0.7378310557352578
16.0,5621.165438109271,0.7347928677267022
17.0,5598.956808892526,0.7318897789401995
18.0,5577.608674933076,0.7290991731938662
19.0,5556.998836046051,0.7264050766073269
20.0,5537.0401954332,0.7237961039781959
21.0,5517.6698986515885,0.7212640390394233
22.0,5498.841833371754,0.7188028540355235
23.0,5480.521454200155,0.7164080332287786
24.0,5462.682214042614,0.7140761064107993
25.0,5445.303104575014,0.7118043273954267
26.0,5428.36696193527,0.7095904525405583
27.0,5411.859300132073,0.7074325882525584
28.0,5395.7675082476435,0.7053290860454433
29.0,5380.080298349778,0.70327847037252
30.0,5364.787326125432,0.7012793890360041
31.0,5349.878930465291,0.6993305791457896
32.0,5335.345954932901,0.6974308437820785
33.0,5321.179625570715,0.6955790360223157
34.0,5307.371467437457,0.6937740480310401
35.0,5293.913247746142,0.6920148036269467
36.0,5280.796937246337,0.6903002532348153
37.0,5268.014684095545,0.6886293704700059
38.0,5255.55879625769,0.6870011498376066
39.0,5243.421729702414,0.685414605189858
40.0,5231.596080530498,0.683868768696797
41.0,5220.074579737576,0.6823626901617745
42.0,5208.850089732702,0.6808954365663662
43.0,5197.915602006781,0.6794660917655925
44.0,5187.26423553783,0.678073756279455
45.0,5176.889235652002,0.6767175471440526
46.0,5166.783973150291,0.6753965977974234
47.0,5157.825748540863,0.6742255880445573
48.0,5149.997193244242,0.6732022474829075
49.0,5142.372924415851,0.6722056110347516
50.0,5134.947947706467,0.6712350258439824
