year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.4000000000000001,13.3,20.299999999999997,35.0,100.04528333333334,47.8826538277242,52.16262950560915,38.0,52.33944622808504,2.79880565795992,1.0,0.96,1.0
1.0,1.3946811192093203,13.29648907947288,20.300004549999997,34.9911747486822,99.81503980962364,47.83121295838807,51.98382685123557,38.0,52.24110476817956,2.795319156309229,0.998754289480309,0.959992396706557,0.998754289480309
2.0,1.3905485766052215,13.292026884637357,20.300005194299434,34.98258065554201,99.6307954397374,47.78995586811666,51.84083957162074,38.0,52.16246176439141,2.7925235332216567,0.9977554265976286,0.9599849925647747,0.9977554265976286
3.0,1.3873236112412761,13.286880410617284,20.300000878400258,34.97420490025882,99.48187561810644,47.75653229060812,51.72534332749832,38.0,52.098938830124084,2.7902594525083235,0.996946481286655,0.9599777765294537,0.996946481286655
4.0,1.384793454397438,13.281252631331617,20.299990845337184,34.96603693106624,99.36013027108115,47.72914327298963,51.630986998091515,38.0,52.04704284895034,2.788404900554806,0.9962838586610921,0.9599707395098417,0.9962838586610921
5.0,1.382795642069811,13.275297642403594,20.299974564301504,34.95806784877491,99.25933349653509,47.70641186856369,51.5529216279714,38.0,52.004106895384275,2.78686645463873,0.995734179224901,0.9599638738389445,0.995734179224901
6.0,1.381206079590175,13.269132222441357,20.299951676148222,34.950289978179754,99.17472692156873,47.687284055045495,51.48744286652324,38.0,51.96809357658778,2.7855725831476787,0.9952718850719035,0.959957172904278,0.9952718850719035
7.0,1.379929951717624,13.262844661700612,20.29992195179323,34.94269656521146,99.10267199976141,47.67095285983926,51.43171913992215,38.0,51.937445526957184,2.7844685096964366,0.9948774048592091,0.9599506308869514,0.9948774048592091
8.0,1.3788947943779755,13.256501505096107,20.299885260453806,34.93528155992789,99.04038503754325,47.6568002834228,51.38358475412045,38.0,51.910971614766254,2.7835122788532267,0.9945357481098417,0.9599442425747071,0.9945357481098417
9.0,1.3780452107737244,13.250152702883844,20.299841545407112,34.92803945906468,98.98573513499136,47.644352861042805,51.341382273948554,38.0,51.88776025067171,2.7826717439220716,0.9942354289616491,0.9599380032262711,0.9942354289616491
10.0,1.3773388396741597,13.243835545367972,20.29979080549131,34.92096519053344,98.93709002508253,47.633247668553224,51.3038423565293,38.0,51.86711329609112,2.7819222615842722,0.9939676424736277,0.9599319084718442,0.9939676424736277
