year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.0,9.5,14.499999999999998,25.0,71.46091666666666,27.90056749528389,43.56034917138277,66.0,63.008192044260525,2.721627759704446,0.850678074695773,0.95,0.850678074695773
1.0,0.9506498999763069,9.467124933317539,14.500003249999999,24.917778083293847,69.3237234694739,27.627552466665897,41.69617100280801,66.0,61.982894051544406,2.6945633318190123,0.8422187564351364,0.9499114533204703,0.8422187564351364
2.0,0.9147944924599712,9.427093114318893,14.499969956997381,24.841857563776244,67.72108764849123,27.42010764427697,40.30098000421427,66.0,61.215539002317854,2.673995897305245,0.8357901529895634,0.9498296927609898,0.8357901529895634
3.0,0.8886504884848621,9.382397639795883,14.499892192865252,24.770940321145996,66.5046454892375,27.260954034371313,39.243691454866195,66.0,60.63403030017641,2.658215053348066,0.8308576570203038,0.9497533203458496,0.8308576570203038
4.0,0.8695067104420249,9.334822260492892,14.499764806325478,24.704093777260397,65.56806793325575,27.13729854487952,38.43076938837623,66.0,60.186923163606934,2.645953637615767,0.8270252014278721,0.9496813317601266,0.8270252014278721
5.0,0.8554160015812744,9.285639651910056,14.499584632489011,24.64064028598034,64.8349639582042,27.039730354411823,37.795233603792376,66.0,59.83737848208582,2.6362790802732987,0.824001300093724,0.9496129972310557,0.824001300093724
6.0,0.8449776017707079,9.235754202156354,14.499349923349657,24.58008172727672,64.25034440088267,26.96135677996802,37.28898762091465,66.0,59.558943191503054,2.6285081244516575,0.8215723927189633,0.9495477803216826,0.8215723927189633
7.0,0.83718254536683,9.185804920520498,14.499059937401155,24.522047403288482,63.77456232469112,26.89714400798906,36.87741831670206,66.0,59.33258007418614,2.6221416605798953,0.819582476497048,0.9494852818189261,0.819582476497048
8.0,0.8313033580081179,9.136239645945198,14.498714643935884,24.4662576478892,63.378992113089446,26.843422431922612,36.535569681166834,66.0,59.144563324641766,2.6168157788828537,0.8179178069727377,0.9494252005438807,0.8179178069727377
9.0,0.8268151060785927,9.087368581128768,14.498314510041567,24.41249819724893,63.0429380335862,26.797519585156415,36.24541844842979,66.0,58.98498014663639,2.612265420715128,0.8164955368215406,0.9493673057508835,0.8164955368215406
10.0,0.823338751632128,9.039402922906634,14.49786034725618,24.360602021794943,62.751416890366386,26.757489800747678,35.99392708961871,66.0,58.846659899290295,2.6082975942570794,0.8152553440876061,0.949311417561933,0.8152553440876061
