year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.68,15.96,24.36,42.0,120.05434,40.714365728439944,79.33997427156005,85.0,93.13698584935803,4.999271900309782,1.0,1.0,1.0
1.0,1.680297213262012,15.960240142174676,24.36000546,42.00054281543669,120.06734181726232,40.715643761079136,79.35169805618318,85.0,93.14343393090076,4.999430779297263,1.00003178042536,1.0,1.00003178042536
2.0,1.6805139746609434,15.960522371574621,24.360011182943147,42.00104752917871,120.07715495543245,40.71660828545094,79.36054666998152,85.0,93.14830066848984,4.999550684221152,1.0000557649027557,1.0,1.0000557649027557
3.0,1.6806725089210004,15.960831626295139,24.36001721541797,42.00152135063411,120.08464968357954,40.71734489348083,79.36730479009871,85.0,93.15201763455431,4.999642255593912,1.0000740818446197,1.0,1.0000740818446197
4.0,1.6807888872318462,15.961157123221659,24.360023587237773,42.00196959769128,120.09045564721961,40.71791549887532,79.37254014834429,85.0,93.15489708158937,4.99971319029407,1.0000882708508536,1.0,1.0000882708508536
5.0,1.6808747313023296,15.961491169492229,24.360030316208725,42.00239621700328,120.09502849121168,40.71836489892699,79.37666359228469,85.0,93.15716497575657,4.9997690573339595,1.0000994458861394,1.0,1.0000994458861394
6.0,1.6809384455904846,15.961828303273066,24.360037411573416,42.002804160436966,120.09869803659855,40.71872551677734,79.37997251982121,85.0,93.15898488590166,4.999813887413353,1.0001084132078388,1.0,1.0001084132078388
7.0,1.680986108311906,15.962164672632264,24.36004487649688,42.00319565744105,120.10170311712572,40.71902082907628,79.38268228804944,85.0,93.1604752584272,4.9998505990389575,1.0001157566023045,1.0,1.0001157566023045
8.0,1.6810221156957041,15.96249758655956,24.36005270986042,42.00357241211569,120.10421676868197,40.71926784366904,79.38494892501294,85.0,93.16172190875712,4.999881306543233,1.0001218989976146,1.0,1.0001218989976146
9.0,1.6810496478124102,15.962825190446887,24.360060907555102,42.0039357458144,120.10636444282503,40.71947889070823,79.3868855521168,85.0,93.16278705366423,4.9999075427490896,1.0001271470030002,1.0,1.0001271470030002
10.0,1.6810710053845659,15.963146231552235,24.360069463413584,42.004286700350384,120.10823717614463,40.7196629175058,79.38857425863883,85.0,93.16371584225135,4.9999304199407275,1.0001317231077,1.0,1.0001317231077
