year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.8,17.1,26.099999999999998,45.0,119.17500000000001,40.0,90.29625000000001,3.709545912259875,0.9731908958490989,1.0,0.9731908958490989
1.0,1.2882628901502748,16.87944192676685,26.08929,44.25699481691713,97.51355653561596,40.0,78.38245609458879,3.455382724508264,0.9065117641628255,0.9995199043432388,0.9065117641628255
2.0,0.9397627036993794,16.594193748662814,26.078392207734087,43.61234866009628,82.42389524990095,40.0,70.08314238744553,3.249575691590581,0.8525187592305352,0.9991033637496006,0.8525187592305352
3.0,0.7017036020152969,16.268458340115725,26.06724858990015,43.037410532031174,71.78869014924531,40.0,64.23377958208492,3.08831587983271,0.8102126160041011,0.9987318652668509,0.8102126160041011
4.0,0.5386279063014191,15.918687127345718,26.055822953816353,42.513137987463494,64.18643753278252,40.0,60.05254064303039,2.9639827015109264,0.7775940907029737,0.9983931045457457,0.7775940907029737
5.0,0.4266099776106571,15.556044917416273,26.044093949277148,42.02674884430408,58.65811503242005,40.0,57.011963267831035,2.868444195084918,0.7525297817940244,0.9980788223301658,0.7525297817940244
6.0,0.34943930346934343,15.188083165918526,26.032050295753546,41.569572765141416,54.553916707552865,40.0,54.75465418915408,2.7945381584710205,0.7331407019222191,0.9977834162482452,0.7331407019222191
7.0,0.29609601152671344,14.81988111113376,26.01968752030712,41.1356646429676,51.43197054667026,40.0,53.03758380066865,2.7365163142683446,0.7179188036430253,0.9975030448462252,0.7179188036430253
8.0,0.2590693135081128,14.454826008511416,26.007005725786833,40.720901047806365,48.99092468063709,40.0,51.6950085743504,2.6900018193050284,0.7057158321489373,0.9972350437539672,0.7057158321489373
9.0,0.23322992039534388,14.09514736453575,25.994008063468705,40.3223853483998,47.02476996626971,40.0,50.61362348144834,2.6517674801377416,0.6956851406124246,0.996977541302043,0.6956851406124246
10.0,0.21506964230441494,13.742283023518219,25.98069968803332,39.93805235385595,45.39238861118877,40.0,49.715813736153834,2.6194818317850754,0.6872150745217049,0.9967292030594146,0.6872150745217049
