year,pop_total_millions,yield_fraction_weighted
0.0,7470.0,0.976470588235294
1.0,7165.573637726205,0.9366762925132294
2.0,6924.514034422998,0.9051652332579082
3.0,6738.727089327484,0.8808793580820239
4.0,6597.270908477276,0.8623883540493171
5.0,6489.618859851567,0.8483161908302703
6.0,6406.950825505048,0.8375099118307254
7.0,6342.39799145082,0.8290716328693881
8.0,6290.837265164691,0.8223316686489791
9.0,6248.549039902584,0.816803796065697
10.0,6212.878830812504,0.8121410236356216
11.0,6181.953237432915,0.8080984624095313
12.0,6154.459470197006,0.8045045059081054
13.0,6129.481555794669,0.8012394190581266
14.0,6106.381837835983,0.7982198480831351
15.0,6084.716675768109,0.7953878007540013
16.0,6064.177125087373,0.792702892168284
17.0,6044.547497557733,0.7901369277853245
18.0,6025.676552642257,0.787670137600295
19.0,6007.457536050807,0.785288566804027
20.0,5989.814379717917,0.7829822718585514
21.0,5972.692176371192,0.7807440753426396
22.0,5956.05061194976,0.7785687074444132
23.0,5939.859441094397,0.7764522145221434
24.0,5924.095372108083,0.7743915519095533
25.0,5908.739923439205,0.7723843037175431
26.0,5893.7779494015895,0.7704284901178549
27.0,5879.196626685503,0.76852243486085
28.0,5864.98475801873,0.7666646742508144
29.0,5851.132294040792,0.7648538946458552
30.0,5837.630005267369,0.7630888895774339
31.0,5824.469257250695,0.761368530359568
32.0,5811.641856661372,0.7596917459688068
33.0,5799.139946082768,0.758057509291865
34.0,5786.955932238059,0.7564648277435372
35.0,5775.082437139168,0.7549127368809369
36.0,5763.512264928987,0.7534002960691486
37.0,5752.238379447033,0.7519265855486319
38.0,5741.253889102853,0.7504907044578891
39.0,5730.552036710977,0.7490917695047027
40.0,5720.126192676983,0.7477289140754227
41.0,5709.969850430367,0.7464012876379563
42.0,5700.07662334809,0.7451080553396194
43.0,5690.440242652148,0.7438483977323069
44.0,5681.054555929021,0.7426215105789572
45.0,5671.913526032078,0.7414266047100758
46.0,5663.011230205658,0.7402629059092362
47.0,5654.341859322883,0.7391296548134486
48.0,5645.899717165842,0.7380261068190643
49.0,5637.679219701734,0.7369515319871548
50.0,5629.674894325725,0.7359052149445394
