year,pop_total_millions,yield_fraction_weighted
0.0,7269.429972030156,0.9502522839255105
1.0,7244.208558477851,0.9469553671212876
2.0,7224.745107321004,0.9444111251400006
3.0,7209.565711978651,0.9424268904547256
4.0,7197.572872099462,0.9408591989672498
5.0,7187.952631664589,0.9396016511979854
6.0,7180.102829526522,0.9385755332714408
7.0,7173.578622062621,0.9377226956944601
8.0,7168.051587310909,0.9370002074916222
9.0,7163.279254665253,0.9363763731588567
10.0,7159.082515722421,0.9358277798329963
