year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.28,12.16,18.56,32.0,91.46997333333334,38.126600354191275,53.34337297914207,89.0,81.03885513852813,4.199096470183585,1.0,0.98,1.0
1.0,1.2799165691150676,12.159976379410045,18.56000416,31.99989710852511,91.46645913313172,38.126192124860744,53.34026700827098,89.0,81.03714685454905,4.199050732701272,0.9999891077800573,0.9799999113550371,0.9999891077800573
2.0,1.2798560704572068,12.159939554442833,18.56000829071723,31.99980391561727,91.46385011700555,38.125888539390814,53.337961577614735,89.0,81.03587886768811,4.199016720865175,0.9999810079813654,0.9799998310657626,0.9999810079813654
3.0,1.279812115677246,12.159893827565023,18.560012377496353,31.999718320738623,91.46189604852817,38.12566068892265,53.336235359605524,89.0,81.03492944778304,4.1989911953097385,0.9999749291604529,0.9799997573224825,0.9999749291604529
4.0,1.27978009878788,12.15984228137922,18.560016410474876,31.999638790641974,91.46041644766055,38.125487721624474,53.334928726036075,89.0,81.03421079931985,4.198971819493067,0.9999703148781165,0.9799996888042454,0.9999703148781165
5.0,1.2797566987841198,12.159787119624946,18.560020383223804,31.99956420163287,91.45928112660255,38.125354595080616,53.33392653152193,89.0,81.03365959233707,4.198956907844302,0.9999667637216066,0.9799996245429452,0.9999667637216066
6.0,1.2797395210693667,12.159729913005016,18.560024291768283,31.999493725842665,91.4583961575483,38.12525045567524,53.33314570187305,89.0,81.03323013603017,4.198945244167163,0.9999639860580732,0.9799995638253414,0.9999639860580732
7.0,1.2797268389471486,12.15967177639645,18.56002813388218,31.99942674922578,91.4576937563161,38.12516747009829,53.33252628621781,89.0,81.0328894574198,4.198935950705124,0.999961772852898,0.9799995061224099,0.999961772852898
8.0,1.279717407252046,12.159613496593623,18.56003190858018,31.999362812425847,91.45712498900023,38.125099982855964,53.33202500614427,89.0,81.03261375337937,4.198928393736636,0.9999599731875314,0.9799994510383977,0.9999599731875314
9.0,1.2797103279878241,12.15955562438807,18.560035615752195,31.99930156812809,91.45665451381821,38.12504390884001,53.331610604978195,89.0,81.03238583273802,4.198922115509604,0.9999584780499283,0.9799993982740796,0.9999584780499283
10.0,1.2797049534594127,12.159498540937264,18.560039255900435,31.999242750297114,91.45625679020254,38.12499629537604,53.3312604948265,89.0,81.03219327215457,4.198916785166777,0.9999572086476021,0.979999347600256,0.9999572086476021
