year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.4000000000000001,13.3,20.299999999999997,35.0,100.04528333333334,47.71373408396716,52.331549249366184,37.24,52.01435208715141,2.787333773516046,0.9959011500454676,0.96,0.9959011500454676
1.0,1.3928092518246133,13.295241167883075,20.300004549999997,34.98805496970769,99.73397235297097,47.64393889589387,52.0900334570771,37.24,51.881518401392405,2.782600401717782,0.9942099387300974,0.9599897088969789,0.9942099387300974
2.0,1.3872191062707813,13.289194575552717,20.3000038072457,34.9764174890692,99.48470994999496,47.587911091103415,51.89679885889155,37.24,51.77523937239036,2.7788014037707165,0.992852574764414,0.9599796827598135,0.992852574764414
3.0,1.382853826254691,13.28222085525841,20.299996344244754,34.96507102575785,99.2831103351672,47.54248174341644,51.740628591750756,37.24,51.68934572546292,2.77572191915855,0.991752289504018,0.9599699073452683,0.991752289504018
4.0,1.3794266091397436,13.274594308002772,20.299981135386762,34.954002052529276,99.11818974185312,47.505223104496224,51.61296663735689,37.24,51.6191316505463,2.7731972430813863,0.9908502347043274,0.9599603709991021,0.9908502347043274
5.0,1.376718422277218,13.26652329740011,20.29995746069355,34.943199180370875,98.9815563522735,47.474275390875334,51.507280961398166,37.24,51.56100452876899,2.771101145290623,0.990101308895634,0.9599510639092426,0.990101308895634
6.0,1.374561916802807,13.258165823556741,20.299924832307223,34.93265257266677,98.8667948215072,47.448213861029615,51.418580960477584,37.24,51.51221952826268,2.7693368893722194,0.9894709486155674,0.9599419776010667,0.9894709486155674
7.0,1.3728291844967455,13.249641419637845,20.29988293834219,34.922353542476785,98.76899797521537,47.42594689626197,51.3430510789534,37.24,51.470678093424375,2.7678303370499147,0.9889326646093092,0.9599331045904416,0.9889326646093092
8.0,1.3714224297092539,13.241040241458125,20.299831600001003,34.91229427116838,98.68441008807542,47.4066379024667,51.277772185608725,37.24,51.4347747020848,2.7665246584921177,0.9884661518473089,0.9599244381413143,0.9884661518473089
9.0,1.3702668564313587,13.232430013584494,20.29977073882458,34.90246760884043,98.6101549195577,47.38964549288853,51.22050942666917,37.24,51.40328018466805,2.765376277470412,0.9880558407496306,0.9599159720937702,0.9880558407496306
10.0,1.3693052410038573,13.22386133809336,20.299700351686816,34.89286693078404,98.54402822744136,47.37447768833005,51.169550539111306,37.24,51.37525279651123,2.764351764744216,0.9876897872070125,0.9599077007403678,0.9876897872070125
