year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.28,12.16,18.56,32.0,91.46997333333334,35.956307017533966,55.51366631579938,71.2,72.44251647368966,3.9554840444534674,0.9419845608549529,0.98,0.9419845608549529
1.0,1.2554156878996274,12.143642458599752,18.56000416,31.959062306499376,90.40536680249302,35.81767653349855,54.58769026899447,71.2,71.93322964794697,3.939900104760959,0.9382733006342924,0.9799647306025225,0.9382733006342924
2.0,1.2373768721088951,12.123600950455478,18.559990135564252,31.920967958128625,89.5993866439141,35.711941024735566,53.887445619178536,71.2,71.5480950905482,3.9280126778887268,0.9354423518917138,0.9799319108562339,0.9354423518917138
3.0,1.224095308968798,12.101123818796701,18.559953845201992,31.88517297296749,88.98212181877332,35.63043846508336,53.351683353689964,71.2,71.25342584452947,3.9188491769853186,0.9332600965021377,0.9799010720997874,0.9332600965021377
4.0,1.2142750590558746,12.077111896792019,18.559892597927277,31.85127955377517,88.50289598500778,35.56679015939509,52.93610582561269,71.2,71.024858204087,3.9116930233075453,0.9315558837676633,0.9798718716155601,0.9315558837676633
5.0,1.2069757743391505,12.052213531992393,18.55980470598927,31.818994012320815,88.12492145701317,35.51631136345051,52.60861009356266,71.2,70.84473555145946,3.9060177363137907,0.9302043342059771,0.9798440563798456,0.9302043342059771
6.0,1.2015144718050648,12.0268936248434,18.559689203504117,31.788097300152582,87.82146050700884,35.47556752353542,52.34589298347342,71.2,70.70024114091039,3.901437226123468,0.9291135018750585,0.9798174376739776,0.9291135018750585
7.0,1.197394722539754,12.001483810608129,18.55954564202798,31.75842417517586,87.57305933896714,35.44204341949389,52.13101591947325,71.2,70.58205875571029,3.8976686893681483,0.9282160381511172,0.9797918731355362,0.9282160381511172
8.0,1.1942554767311957,11.976218947220053,18.559373942056077,31.729848366007325,87.36554976718847,35.41389814326553,51.95165162392294,71.2,70.48340839315762,3.8945051080242186,0.9274626424226805,0.9797672539768678,0.9274626424226805
9.0,1.1918340105402423,11.95126365224096,18.559174285186096,31.702271947967297,87.18860270104692,35.389784495075624,51.798818205971294,71.2,70.39935001328422,3.8917949661211027,0.9268172316962636,0.9797434958320949,0.9268172316962636
10.0,1.1899390605486533,11.926731605641207,18.558947035855944,31.675617702045805,87.03467953355778,35.368716301121744,51.665963232436035,71.2,70.32627977783982,3.889427341780973,0.9262533903182573,0.9797205321740702,0.9262533903182573
