year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.8,17.1,26.099999999999998,45.0,128.62965000000003,54.20181137606648,74.42783862393355,50.0,71.18531124316345,4.4892628892914805,1.0,1.0,1.0
1.0,1.7983456683059207,17.098942112203947,26.10000585,44.997293630509866,128.55814294394892,54.18902287897982,74.36912006496911,50.0,71.15301603573302,4.488115517217252,0.9997444186044516,0.9999982512689448,0.9997444186044516
2.0,1.797085873538335,17.097604119012082,26.100010519898916,44.994700512449334,128.50204563911333,54.178973133298314,74.32307250581502,50.0,71.12768987819827,4.487213990521632,0.9995436001810597,0.9999965757157365,0.9995436001810597
3.0,1.79612285712084,17.096070102943184,26.100013699218714,44.992206659282736,128.4575851301577,54.170993053690594,74.2865920764671,50.0,71.10762564205692,4.486498257548373,0.9993841680001182,0.9999949643029211,0.9993841680001182
4.0,1.7953831971593495,17.094402844694685,26.1000151711651,44.989801213019135,128.42192658620203,54.16457946905497,74.25734711714706,50.0,71.09154091443088,4.485923152073334,0.9992560611172687,0.9999934100145662,0.9992560611172687
5.0,1.7948117414280147,17.09264913421128,26.10001478888237,44.98747566452166,128.39293943297514,54.159353947273495,74.23358548570164,50.0,71.07847201713591,4.485454701618014,0.9991517120366129,0.9999919073524601,0.9991517120366129
6.0,1.7943670553621023,17.090843759394136,26.100012457628736,44.98522327238497,128.36902189657894,54.15503182469759,74.21399007188135,50.0,71.06769453953476,4.485067349643171,0.9990654279440134,0.999990451960618,0.9990654279440134
7.0,1.7940180056894457,17.089012501814274,26.100008121398147,44.983038628901866,128.34896932673936,54.15139891814306,74.1975704085963,50.0,71.05866372472798,4.484741866201485,0.9989929252972065,0.9999890403448289,0.9989929252972065
8.0,1.7937411957799891,17.087174386685103,26.100001752881536,44.98091733534663,128.3318753511563,54.148294017503424,74.18358133365288,50.0,71.05096973350909,4.484463776871831,0.9989309798650693,0.9999876696628394,0.9989309798650693
9.0,1.7935190400322556,17.085343372741153,26.09999334593624,44.97885575870965,128.317057660989,54.1455957262122,74.1714619347768,50.0,71.04430406412725,4.484222181661802,0.9988771636337666,0.9999863375671663,0.9988771636337666
10.0,1.7933383178697773,17.083529621430795,26.099982909939204,44.97685084923978,128.30400228149887,54.14321257094989,74.16078971054898,50.0,71.03843434080194,4.484008867219585,0.998829647048644,0.9999850420872011,0.998829647048644
