year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.4000000000000001,13.3,20.299999999999997,35.0,100.04528333333334,25.646859737665366,74.39842359566798,200.0,153.66913297761738,5.78661210769214,0.9644320899961637,0.98,0.9644320899961637
1.0,1.3829048292223318,13.288638219481554,20.300004549999997,34.97154759870388,99.30502831743715,25.62923114640357,73.67579717103358,200.0,153.2716884440685,5.782633376493838,0.9637689703721594,0.9799754871619603,0.9637689703721594
2.0,1.3711451592573662,13.275236893359379,20.299996468068553,34.9463785206853,98.77856484667628,25.616525480404903,73.16203936627137,200.0,152.98912165144927,5.779765738178159,0.9632910322690563,0.9799538030332058,0.9632910322690563
3.0,1.3630457014354107,13.260632823971036,20.299973496446768,34.923652021853215,98.39937075367237,25.60724204854762,72.79212870512475,200.0,152.78567078781862,5.777670493694494,0.9629418260359743,0.9799342232803658,0.9629418260359743
4.0,1.3574579714035249,13.245393311393585,20.2999343091252,34.90278559192231,98.12182251741001,25.600337704497946,72.52148481291206,200.0,152.63681664710163,5.776112207811124,0.9626821126003162,0.9799162460484254,0.9626821126003162
5.0,1.3535943831603614,13.22990096964505,20.29987821161377,34.88337356441918,97.9146134939819,25.5950898633035,72.3195236306784,200.0,152.52573799687315,5.774927794181204,0.9624847109961884,0.979899521840115,0.9624847109961884
6.0,1.350914715158623,13.214411916257655,20.299804935203476,34.86513156661975,97.75625029114106,25.59099908417756,72.16525120696349,200.0,152.44088816382992,5.774004529316648,0.9623308340391067,0.9798838056573955,0.9623308340391067
7.0,1.3490483521936936,13.199095692519524,20.299714496055568,34.84785854076878,97.6319684914046,25.5877205868674,72.0442479045372,200.0,152.37433634749547,5.773264596306204,0.9622075122877193,0.9798689242812777,0.9622075122877193
8.0,1.3477409991096962,13.184062648361191,20.299607098764678,34.83141074623556,97.5316191374152,25.585016474638387,71.94660266277683,200.0,152.32063146452728,5.772654301750839,0.9621057968724487,0.9798547538736798,0.9621057968724487
9.0,1.34681814992447,13.16938272613587,20.299483070430433,34.81568394649077,97.44821982426834,25.582722573127114,71.86549725114122,200.0,152.2760234881277,5.772136591378367,0.9620195121021473,0.9798412046308228,0.9620195121021473
10.0,1.346160036704839,13.155098342759528,20.29934281565526,34.800601195119626,97.3769611114944,25.58072549307674,71.79623561841765,200.0,152.2379295901297,5.771685873133662,0.9619443926487175,0.9798282102604108,0.9619443926487175
